id	name	formula	charge	inchikey	smiles	deltag	kegg id	ms id
xcpd__3866_c0		C5H15N4O5P						
xcpd__3868_c0		C11H14O6						
xcpd__3870_c0		C12H18O3S						
xcpd__3871_c0		C12H18O3S						
xcpd__3873_c0		C12H18O5						
xcpd__3880_c0		C13H22O4						
xcpd__3886_c0		C10H13NO6						
xcpd__3889_c0		C12H21NO4						
xcpd__3893_c0		C13H25NO3						
xcpd__3899_c0		C10H12O5S						
xcpd__3903_c0		C10H12O7						
xcpd__3907_c0		C11H16O6						
xcpd__3908_c0		C12H20O5						
xcpd__3909_c0		C12H20O5						
xcpd__3912_c0		C13H24O4						
xcpd__3920_c0		C10H15NO6						
xcpd__3930_c0		C8H7O5PS						
xcpd__3933_c0		C9H10O8						
xcpd__3934_c0		C13H10O5						
xcpd__3935_c0		C10H14O5S						
xcpd__3937_c0		C10H14O7						
xcpd__3939_c0		C14H14O4						
xcpd__3940_c0		C11H18O6						
xcpd__3942_c0		C12H22O5						
xcpd__3959_c0		C12H8O6						
xcpd__3960_c0		C12H8O6						
xcpd__3964_c0		C13H12O5						
xcpd__3965_c0		C10H16O5S						
xcpd__3968_c0		C10H16O7						
xcpd__3970_c0		C14H16O4						
xcpd__3971_c0		C15H20O3						
xcpd__3972_c0		C16H24O2						
xcpd__3979_c0		C11H7NO6						
xcpd__3980_c0		C12H11NO5						
xcpd__3983_c0		C13H15NO4						
xcpd__3984_c0		C13H15NO4						
xcpd__3988_c0		C8H10O9						
xcpd__3989_c0		C12H10O6						
xcpd__3990_c0		C11H10N2O5						
xcpd__3993_c0		C13H14O3S						
xcpd__3995_c0		C13H14O5						
xcpd__3996_c0		C10H18O5S						
xcpd__3997_c0		C10H19O5P						
xcpd__3998_c0		C14H18O4						
xcpd__4000_c0		C15H22O3						
xcpd__4008_c0		C11H9NO6						
xcpd__4010_c0		C12H13NO5						
xcpd__4016_c0		C14H21NO3						
xcpd__4017_c0		C14H21NO3						
xcpd__4021_c0		C14H4O3S						
xcpd__4024_c0		C11H8O7						
xcpd__4025_c0		C12H12O6						
xcpd__4026_c0		C11H13N2O3P						
xcpd__4027_c0		C9H16O6S						
xcpd__4028_c0		C11H12N2O5						
xcpd__4032_c0		C7H17N4O4P						
xcpd__4033_c0		C13H16O5						
xcpd__4034_c0		C10H20O5S						
xcpd__4036_c0		C8H21N4O3P						
xcpd__4037_c0		C14H20O4						
xcpd__4038_c0		C15H24O3						
xcpd__4041_c0		C11H11NO6						
xcpd__4044_c0		C12H15NO5						
xcpd__4052_c0		C14H6OS2						
xcpd__4053_c0		C9H6N2O7						
xcpd__4054_c0		C13H7N2O2P						
xcpd__4056_c0		C11H10O5S						
xcpd__4057_c0		C10H10N2O4S						
xcpd__4058_c0		C11H10O7						
xcpd__4059_c0		C10H10N2O6						
xcpd__4060_c0		C12H14O4S						
xcpd__4062_c0		C6H15N4O5P						
xcpd__4064_c0		C12H14O6						
xcpd__4065_c0		C11H14N2O5						
xcpd__4066_c0		C11H14N2O5						
xcpd__4068_c0		C13H18O3S						
xcpd__4070_c0		C7H19N4O4P						
xcpd__4071_c0		C13H18O5						
xcpd__4072_c0		C8H23N4O3P						
xcpd__4074_c0		C14H22O4						
xcpd__4076_c0		C11H13NO6						
xcpd__4078_c0		C12H17NO5						
xcpd__4085_c0		C5H9N2O6PS						
xcpd__4087_c0		C11H12O5S						
xcpd__4088_c0		C5H13N4O6P						
xcpd__4089_c0		C11H12O7						
xcpd__4091_c0		C10H12N2O6						
xcpd__4092_c0		C12H16O4S						
xcpd__4093_c0		C6H17N4O5P						
xcpd__4094_c0		C6H17N4O5P						
xcpd__4095_c0		C12H16O6						
xcpd__4096_c0		C13H20O5						
xcpd__4097_c0		C14H24O4						
xcpd__4098_c0		C16H32O2						
xcpd__4103_c0		C12H7N3O4						
xcpd__4105_c0		C10H11NO7						
xcpd__4107_c0		C11H15NO6						
xcpd__4121_c0		C10H10O6S						
xcpd__4122_c0		C10H10O8						
xcpd__4123_c0		C14H10O5						
xcpd__4126_c0		C11H14O5S						
xcpd__4127_c0		C11H15O5P						
xcpd__4128_c0		C5H15N4O6P						
xcpd__4129_c0		C5H15N4O6P						
xcpd__4130_c0		C11H14O7						
xcpd__4133_c0		C12H18O6						
xcpd__4134_c0		C16H18O3						
xcpd__4135_c0		C13H22O5						
xcpd__4136_c0		C14H26O4						
xcpd__4140_c0		C9H9NO6S						
xcpd__4147_c0		C11H17NO6						
xcpd__4152_c0		C10H12O6S						
xcpd__4156_c0		C10H12O8						
xcpd__4157_c0		C14H12O5						
xcpd__4161_c0		C11H16O7						
xcpd__4162_c0		C15H16O4						
xcpd__4163_c0		C12H21O4P						
xcpd__4165_c0		C12H20O6						
xcpd__4166_c0		C13H24O5						
xcpd__4167_c0		C12H7NO4S						
xcpd__4168_c0		C14H15NO4						
xcpd__4175_c0		C13H10O6						
xcpd__4177_c0		C10H14O6S						
xcpd__4181_c0		C10H14O8						
xcpd__4182_c0		C10H14O8						
xcpd__4183_c0		C14H14O5						
xcpd__4185_c0		C11H18O5S						
xcpd__4186_c0		C13H14N2O4						
xcpd__4189_c0		C11H18O7						
xcpd__4191_c0		C15H18O4						
xcpd__4197_c0		C12H9NO6						
xcpd__4198_c0		C13H13NO5						
xcpd__4200_c0		C10H22N3OPS						
xcpd__4203_c0		C12H9OPS2						
xcpd__4206_c0		C12H8O7						
xcpd__4208_c0		C13H12O6						
xcpd__4209_c0		C10H16O6S						
xcpd__4210_c0		C12H12N2O5						
xcpd__4211_c0		C10H17O6P						
xcpd__4213_c0		C14H16O3S						
xcpd__4214_c0		C10H16O8						
xcpd__4215_c0		C14H16O5						
xcpd__4216_c0		C11H20O5S						
xcpd__4217_c0		C11H20O5S						
xcpd__4220_c0		C15H20O4						
xcpd__4221_c0		C12H24O4S						
xcpd__4222_c0		C12H25O4P						
xcpd__4223_c0		C16H24O3						
xcpd__4225_c0		C12H11NO6						
xcpd__4226_c0		C13H15NO5						
xcpd__4238_c0		C12H10O7						
xcpd__4240_c0		C11H10N2O6						
xcpd__4242_c0		C13H14O4S						
xcpd__4243_c0		C9H14O9						
xcpd__4245_c0		C7H15N4O5P						
xcpd__4246_c0		C7H15N4O5P						
xcpd__4247_c0		C13H14O6						
xcpd__4248_c0		C14H10N4O2						
xcpd__4249_c0		C10H18O6S						
xcpd__4250_c0		C12H14N2O5						
xcpd__4254_c0		C10H18O8						
xcpd__4256_c0		C8H19N4O4P						
xcpd__4257_c0		C14H18O5						
xcpd__4258_c0		C11H22O5S						
xcpd__4259_c0		C13H18N2O4						
xcpd__4262_c0		C9H23N4O3P						
xcpd__4263_c0		C15H22O4						
xcpd__4264_c0		C12H26O4S						
xcpd__4267_c0		C13H5N3O2S						
xcpd__4268_c0		C11H9NO7						
xcpd__4270_c0		C12H13NO6						
xcpd__4275_c0		C13H17NO5						
xcpd__4280_c0		C9H25N5O4						
xcpd__4289_c0		C11H8O8						
xcpd__4291_c0		C12H12O5S						
xcpd__4292_c0		C12H12O7						
xcpd__4293_c0		C11H12N2O6						
xcpd__4296_c0		C13H16O4S						
xcpd__4299_c0		C7H17N4O5P						
xcpd__4300_c0		C13H16O6						
xcpd__4301_c0		C10H20O6S						
xcpd__4303_c0		C12H16N2O5						
xcpd__4305_c0		C14H20O3S						
xcpd__4307_c0		C14H20O5						
xcpd__4308_c0		C15H24O4						
xcpd__4310_c0		C11H11NO5S						
xcpd__4311_c0		C13H7N3O4						
xcpd__4312_c0		C11H11NO7						
xcpd__4314_c0		C12H15NO6						
xcpd__4316_c0		C13H19NO5						
xcpd__4325_c0		C11H10O8						
xcpd__4326_c0		C10H10N2O7						
xcpd__4327_c0		C12H14O5S						
xcpd__4329_c0		C12H14O7						
xcpd__4330_c0		C11H14N2O6						
xcpd__4331_c0		C16H14O4						
xcpd__4332_c0		C13H18O4S						
xcpd__4334_c0		C7H19N4O5P						
xcpd__4335_c0		C13H18O6						
xcpd__4336_c0		C12H18N2O5						
xcpd__4338_c0		C14H22O5						
xcpd__4339_c0		C15H26O4						
xcpd__4341_c0		C11H13NO5S						
xcpd__4343_c0		C11H13NO7						
xcpd__4346_c0		C12H17NO6						
xcpd__4349_c0		C13H21NO5						
xcpd__4358_c0		C11H12O6S						
xcpd__4360_c0		C11H12O8						
xcpd__4361_c0		C10H12N2O7						
xcpd__4362_c0		C15H12O5						
xcpd__4364_c0		C12H16O5S						
xcpd__4365_c0		C12H17O5P						
xcpd__4367_c0		C6H17N4O6P						
xcpd__4368_c0		C12H16O7						
xcpd__4369_c0		C11H16N2O6						
xcpd__4370_c0		C16H16O4						
xcpd__4372_c0		C13H20O6						
xcpd__4373_c0		C14H24O5						
xcpd__4375_c0		C15H28O4						
xcpd__4376_c0		C16H32O3						
xcpd__4378_c0		C10H11NO8						
xcpd__4385_c0		C12H19NO6						
xcpd__4392_c0		C10H10O7S						
xcpd__4393_c0		C12H6N2O6						
xcpd__4394_c0		C10H10O9						
xcpd__4395_c0		C14H10O6						
xcpd__4398_c0		C11H14O6S						
xcpd__4401_c0		C11H14O8						
xcpd__4403_c0		C15H14O5						
xcpd__4404_c0		C12H18O5S						
xcpd__4406_c0		C14H14N2O4						
xcpd__4409_c0		C12H18O7						
xcpd__4410_c0		C16H18O4						
xcpd__4412_c0		C13H22O4S						
xcpd__4415_c0		C13H22O6						
xcpd__4417_c0		C13H9NO6						
xcpd__4418_c0		C10H13NO6S						
xcpd__4419_c0		C10H14NO6P						
xcpd__4422_c0		C14H13NO5						
xcpd__4423_c0		C11H17NO7						
xcpd__4427_c0		C15H17NO4						
xcpd__4432_c0		C13H8O7						
xcpd__4434_c0		C10H12O7S						
xcpd__4440_c0		C10H12O9						
xcpd__4442_c0		C14H12O6						
xcpd__4443_c0		C11H16O6S						
xcpd__4444_c0		C13H12N2O5						
xcpd__4446_c0		C11H16O8						
xcpd__4447_c0		C12H12N4O4						
xcpd__4448_c0		C15H16O5						
xcpd__4449_c0		C12H20O5S						
xcpd__4450_c0		C14H16N2O4						
xcpd__4452_c0		C12H20O7						
xcpd__4453_c0		C16H20O4						
xcpd__4454_c0		C13H24O4S						
xcpd__4459_c0		C12H8NOPS2						
xcpd__4460_c0		C12H7NO3S2						
xcpd__4463_c0		C13H11NO6						
xcpd__4465_c0		C10H15NO8						
xcpd__4466_c0		C14H15NO5						
xcpd__4467_c0		C14H15NO5						
xcpd__4468_c0		C11H19NO7						
