formula,init
C9H23N4O3P,1
C15H22O4,1
C12H26O4S,1
C13H5N3O2S,1
C11H9NO7,1
C12H13NO6,1
C13H17NO5,1
C9H25N5O4,1
C11H8O8,1
C12H12O5S,1
C12H12O7,1
C11H12N2O6,1
C13H16O4S,1
C7H17N4O5P,1
C13H16O6,1
C10H20O6S,1
C12H16N2O5,1
C14H20O3S,1
C14H20O5,1
C15H24O4,1
C11H11NO5S,1
C13H7N3O4,1
C11H11NO7,1
C12H15NO6,1
C13H19NO5,1
C11H10O8,1
C10H10N2O7,1
C12H14O5S,1
C12H14O7,1
C11H14N2O6,1
C16H14O4,1
C13H18O4S,1
C7H19N4O5P,1
C13H18O6,1
C12H18N2O5,1
C14H22O5,1
C15H26O4,1
C11H13NO5S,1
C11H13NO7,1
C12H17NO6,1
C13H21NO5,1
C11H12O6S,1
C11H12O8,1
C10H12N2O7,1
C15H12O5,1
C12H16O5S,1
C12H17O5P,1
C6H17N4O6P,1
C12H16O7,1
C11H16N2O6,1
C16H16O4,1
C13H20O6,1
C14H24O5,1
C15H28O4,1
C16H32O3,1
C10H11NO8,1
C12H19NO6,1
C10H10O7S,1
C12H6N2O6,1
C10H10O9,1
C14H10O6,1
C11H14O6S,1
C11H14O8,1
C15H14O5,1
C12H18O5S,1
C14H14N2O4,1
C12H18O7,1
C16H18O4,1
C13H22O4S,1
C13H22O6,1
C13H9NO6,1
C10H13NO6S,1
C10H14NO6P,1
C14H13NO5,1
C11H17NO7,1
C15H17NO4,1
C13H8O7,1
C10H12O7S,1
C10H12O9,1
C14H12O6,1
C11H16O6S,1
C13H12N2O5,1
C11H16O8,1
C12H12N4O4,1
C15H16O5,1
C12H20O5S,1
C14H16N2O4,1
C12H20O7,1
C16H20O4,1
C13H24O4S,1
C12H8NOPS2,1
C12H7NO3S2,1
C13H11NO6,1
C10H15NO8,1
C14H15NO5,1
C14H15NO5,1
C11H19NO7,1
C12H11N2O2PS,1
C10H14O5S2,1
C13H10O7,1
C12H11N2O4P,1
C10H14O7S,1
C12H10N2O6,1
C10H14O9,1
C14H14O6,1
C11H18O6S,1
C13H14N2O5,1
C11H18O8,1
C9H19N4O4P,1
C15H18O5,1
C12H22O5S,1
C14H18N2O4,1
C12H22O7,1
C16H22O4,1
C7H9N3O5S2,1
C12H9NO7,1
C13H13NO6,1
C12H13N3O5,1
C14H17NO5,1
C12H8O8,1
C13H12O5S,1
C7H13N4O6P,1
C13H12O7,1
C10H16O7S,1
C12H12N2O6,1
C10H16O9,1
C14H16O6,1
C11H20O6S,1
C13H16N2O5,1
C11H20O8,1
C15H20O5,1
C16H24O4,1
C13H28O4S,1
C12H11NO5S,1
C12H11NO7,1
C13H15NO6,1
C14H19NO5,1
C8H11O5PS2,1
C12H10O8,1
C13H14O5S,1
C13H14O7,1
C10H18O7S,1
C12H14N2O6,1
C10H19O7P,1
C14H18O4S,1
C14H18O6,1
C11H22O6S,1
C11H22O6S,1
C13H18N2O5,1
C15H22O3S,1
C15H22O5,1
C16H26O4,1
C12H13NO5S,1
C12H13NO7,1
C13H17NO6,1
C12H17N3O5,1
C14H21NO5,1
C12H12O6S,1
C12H12O8,1
C11H12N2O7,1
C16H12O5,1
C13H16O5S,1
C9H16O10,1
C10H12N4O6,1
C13H16O7,1
C10H20O7S,1
C12H16N2O6,1
C14H20O4S,1
C14H20O6,1
C15H24O3S,1
C15H24O5,1
C16H28O4,1
C18H36O2,1
C11H11NO6S,1
C11H11NO6S,1
C11H11NO8,1
C12H15NO7,1
C9H20NO7P,1
C13H19NO6,1
C11H10O9,1
C15H10O6,1
C12H14O6S,1
C11H14N2O5S,1
C12H14O8,1
C13H18O5S,1
C13H18O7,1
C12H18N2O6,1
C17H18O4,1
C14H22O4S,1
C14H22O4S,1
C14H22O6,1
C15H26O5,1
C16H30O4,1
C11H13NO6S,1
C11H13NO8,1
C15H13NO5,1
C12H17NO7,1
C11H12O7S,1
C11H12O9,1
C15H12O6,1
C12H16O6S,1
C12H16O8,1
C11H16N2O7,1
C16H16O5,1
C13H20O5S,1
C15H16N2O4,1
C13H20O7,1
C17H20O4,1
C14H24O6,1
C15H28O5,1
C14H11NO6,1
C11H15NO6S,1
C11H15NO6S,1
C13H11N3O5,1
C11H15NO8,1
C15H15NO5,1
C12H19NO7,1
C14H10O7,1
C11H14O7S,1
C8H19O7PS,1
C11H14O9,1
C15H14O6,1
C12H18O6S,1
C14H14N2O5,1
C12H18O8,1
C16H18O5,1
C15H19N2O2P,1
C13H22O5S,1
C15H18N2O4,1
C13H22O7,1
C17H22O4,1
C13H10NOPS2,1
C13H9NO7,1
C10H13NO7S,1
C14H13NO6,1
C14H13NO6,1
C11H17NO8,1
C15H17NO5,1
C12H21NO7,1
C13H8O8,1
C18H4N4O,1
C14H12O5S,1
C11H16O5S2,1
C14H12O7,1
C11H16O7S,1
C13H12N2O6,1
C11H16O9,1
C15H16O6,1
C12H20O6S,1
C14H16N2O5,1
C16H20O3S,1
C12H20O8,1
C16H20O5,1
C13H24O5S,1
C15H20N2O4,1
C17H24O4,1
C13H11NO7,1
C10H15NO9,1
C11H11N5O5,1
C14H15NO6,1
C11H19NO8,1
C15H19NO5,1
C14H31NO5,1
C13H10O8,1
C10H14O8S,1
C12H10N2O7,1
C14H14O5S,1
C14H14O7,1
C13H15N2O4P,1
C11H18O7S,1
C13H14N2O6,1
C15H18O4S,1
C11H18O9,1
C15H18O6,1
C12H22O6S,1
C14H18N2O5,1
C16H22O3S,1
C12H22O8,1
C16H22O5,1
C12H27N2O4P,1
C11H27N4O3P,1
C11H27N4O3P,1
C17H26O4,1
C14H30O4S,1
C12H9NO8,1
C13H13NO7,1
C14H17NO6,1
C13H17N3O5,1
C15H21NO5,1
C11H4O6S2,1
C13H12O6S,1
C13H12O8,1
C12H12N2O7,1
C14H16O5S,1
C14H16O7,1
C11H20O7S,1
C13H16N2O6,1
C15H20O4S,1
C15H21O4P,1
C15H20O6,1
C12H24O6S,1
C14H20N2O5,1
C16H24O3S,1
C16H24O5,1
C17H28O4,1
C12H11NO6S,1
C12H11NO8,1
C12H15N3O6,1
C12H10O5S2,1
C12H10O7S,1
C12H10O9,1
C20H10OS,1
C16H10O6,1
C13H14O6S,1
C10H18O6S2,1
C13H14O8,1
C12H14N2O7,1
C10H19O8P,1
C14H18O5S,1
C8H19N4O6P,1
C14H18O7,1
C11H22O7S,1
C13H18N2O6,1
C18H18O4,1
C15H22O4S,1
C9H23N4O5P,1
C15H22O6,1
C12H27O6P,1
C16H26O3S,1
C16H26O5,1
C17H30O4,1
C13H6N3O4P,1
C14H10N3O3P,1
C12H13NO6S,1
C12H13NO8,1
C9H17NO8S,1
C13H17NO7,1
C14H21NO6,1
C12H12O7S,1
C12H12O9,1
C16H12O6,1
C13H16O6S,1
C13H16O8,1
C12H16N2O7,1
C17H16O5,1
C14H20O5S,1
C14H20O7,1
C13H20N2O6,1
C18H20O4,1
C15H25O4P,1
C9H25N4O5P,1
C15H24O6,1
C16H28O5,1
C17H32O4,1
C18H36O3,1
C11H11NO9,1
C12H15NO6S,1
C12H15NO8,1
C16H15NO5,1
C13H19NO7,1
C17H19NO4,1
C11H11O8P,1
C11H10O10,1
C15H10O7,1
C12H14O7S,1
C13H11N4O3P,1
C12H14O9,1
C16H14O6,1
C13H18O6S,1
C15H14N2O5,1
C13H18O8,1
C12H18N2O7,1
C17H18O5,1
C14H22O5S,1
C14H22O7,1
C18H22O4,1
C15H26O6,1
C16H30O5,1
C11H13NO9,1
C15H13NO6,1
C12H18NO6P,1
C12H17NO8,1
C16H17NO5,1
C13H21NO7,1
C14H8O8,1
C11H12O8S,1
C15H12O5S,1
C11H12O10,1
C15H12O7,1
C12H16O7S,1
C14H12N2O6,1
C19H12O4,1
